Part ID,Machine Part,URL,Tile ID
1,Motor,https://www.bossard.com/ch-de/produktloesungen/erfolgsgeschichten/motors/,1
2,gears,https://www.bossard.com/global-en/bossard-cloud-revolution/bj-gear/,1
3,mounting brackets,https://www.bossard.com/eshop/ch-en/products/functional-elements/electrical-products/mountings-for-cables-and-pipes/c/03.100.700/,1
12,frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,3
4,housing,https://www.bossard.com/eshop/global-en/products/functional-elements/electrical-products/contact-parts/terminal-blocks/bm/p/20499/,1
13,support bracket,https://www.bossard.com/eshop/ch-en/products/functional-elements/electrical-products/cable-protection/system-support/c/03.100.200.60/,3
15,screws,https://www.bossard.com/eshop/ch-en/products/fastening-technology/standard-fastening-elements/screws/c/01.100.100/,3
7,Conveyor belt,https://www.bossard.com/ch-fr/smart-factory-logistics/blog/2019/11/how-to-eliminate-wasted-movement-in-your-factory-with-last-mile-management/,2
16,flange.,https://www.bossard.com/eshop/ch-en/products/fastening-technology/standard-fastening-elements/nuts/hex-nuts/hex-flange-nuts/p/41187/,3
8,frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,2
17,Feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,4
9,rollers,https://nederland.bossard.com/en/machine-normal-parts-fibro/guide-elements/en/machine-normal-parts-fibro/guide-elements/fibro-ball-cages-and-roller-cages,2
18,leg levelers,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,4
19,stainless steel body,https://www.bossard.com/ch-en/assembly-technology-expert/technical-information-and-tools/technical-information/stainless-steel-fasteners/,4
10,support legs.,https://www.bossard.com/global-en/about-us/contact/,2
11,Bowl,https://www.beck-bossard.ch/,3
12,frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,3
13,support legs,https://www.bossard.com/global-en/about-us/contact/,3
16,Legs,https://www.bossard.com/eshop/ch-en/products/specific-fastening-technologies/clip-fasteners/c/02.400/,4
17,feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,4
21,container.,https://www.bossard.com/eshop/global-en/assortments/assortment-box-with-ferrules-blue-insulated-single-ferrules-colourcode-din/p/22566/,4
22,legs,https://www.bossard.com/eshop/ch-en/products/specific-fastening-technologies/clip-fasteners/c/02.400/,5
18,adjustable leveling feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,4
19,container.,https://www.bossard.com/eshop/global-en/assortments/assortment-box-with-ferrules-blue-insulated-single-ferrules-colourcode-din/p/22566/,4
23,feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,5
20,Legs,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,5
24,leveling screws,https://www.bossard.com/ch-en/product-solutions/brands/direct-assembly-screws/toproc/,5
21,leveling feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,5
22,cross supports,https://www.bossard.com/eshop/global-en/access-solutions/operating-and-control-elements/clamping-handles/cross-knobs/c/03.200.100.10.50/,5
26,leveling foot,https://www.bossard.com/eshop/global-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,6
23,Base,https://www.bossard.com/ch-de/,6
25,leveling foot.,https://www.bossard.com/eshop/global-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,6
