Part ID,Machine Part,URL,Tile ID
1,Gear,https://www.bossard.com/global-en/bossard-cloud-revolution/bj-gear/,1
2,pulley,https://www.bossard.com/ch-en/,1
3,shaft,https://www.bossard.com/ch-en/assembly-technology-expert/technical-information-and-tools/online-calculators-and-converters/tolerances-for-shafts-and-holes/,1
4,housing,https://www.bossard.com/eshop/ch-en/products/functional-elements/access-solutions/latching/c/03.200.600/,1
5,screws,https://www.bossard.com/eshop/ch-en/products/fastening-technology/standard-fastening-elements/screws/c/01.100.100/,1
6,bearing.,https://www.bossard.com/ch-en/product-solutions/product-solutions-business-bap/bearing-solutions/,1
7,Belt,https://www.bossard.com/ch-en/,2
8,roller,https://www.bossard.com/eshop/ch-en/snodi-angolari-forcelle-teste-a-snodo/teste-a-snodo/durbal-pf/p/236/?category=03.200.900.20&index=12&q=%3Arelevance,2
9,frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,2
10,mounting bracket,https://www.bossard.com/eshop/ch-en/products/functional-elements/electrical-products/mountings-for-cables-and-pipes/c/03.100.700/,2
11,bolts,https://www.bossard.com/ch-en/assembly-technology-expert/technical-information-and-tools/technical-information/screws-bolts-nuts/,2
12,support legs.,https://www.bossard.com/global-en/about-us/contact/,2
13,Stainless steel structure,https://www.bossard.com/ch-en/assembly-technology-expert/technical-information-and-tools/technical-information/stainless-steel-fasteners/,3
14,support brackets,https://www.bossard.com/ch-en/,3
15,circular frame,https://www.bossard.com/,3
16,metal rods,https://www.bossard.com/eshop/ch-en/standard-fastening-elements/screws/threaded-rods-and-threaded-studs/c/01.100.100.30/,3
17,fastening bolts.,https://www.bossard.com/ch-en/assembly-technology-expert/technical-information-and-tools/technical-information/screws-bolts-nuts/,3
18,Tank,Not available,4
19,tubing,https://www.bossard.com/eshop/ch-en/functional-elements/fluid-management/hydraulic-components/tubes-and-fittings/c/03.300.200.10/,4
20,mounting bracket,https://www.bossard.com/eshop/ch-en/products/functional-elements/electrical-products/mountings-for-cables-and-pipes/c/03.100.700/,4
21,control valve.,https://www.bossard.com/ch-en/product-solutions/brands/sealing-technology/koenig-check-valve/,4
22,Frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,5
23,legs,https://www.bossard.com/eshop/ch-en/products/specific-fastening-technologies/clip-fasteners/c/02.400/,5
24,leveling feet.,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,5
27,Legs,https://www.bossard.com/eshop/ch-en/products/specific-fastening-technologies/clip-fasteners/c/02.400/,7
28,leveling feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,7
29,support brackets.,https://www.bossard.com/ch-en/,7
30,Legs,https://www.bossard.com/eshop/ch-en/products/specific-fastening-technologies/clip-fasteners/c/02.400/,8
31,leveling feet,https://www.bossard.com/eshop/ch-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,8
32,frame.,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,8
33,Leg,https://www.bossard.com/ch-en/,9
34,leveling foot,https://www.bossard.com/eshop/global-en/operating-and-control-elements/levelling-elements/levelling-feet/c/03.200.100.40.10/,9
35,base.,https://www.bossard.com/ch-de/,9
